SITE_NO,airport_id,name,CITY,state,STATE_NAME,lat,long,latitude,longitude,ELEV,OWNERSHIP_TYPE_CODE,FACILITY_USE_CODE,towered_status,airspace_b
103,0J0,ABBEVILLE MUNI,ABBEVILLE,AL,ALABAMA,31.60172027,-85.23854472,31.60172027,-85.23854472,468.3,PU,PU,Non-towered,
110,EET,SHELBY COUNTY,ALABASTER,AL,ALABAMA,33.17777777,-86.78322222,33.17777777,-86.78322222,585.6,PU,PU,Non-towered,
112.1,BFZ,ALBERTVILLE RGNL/THOMAS J BRUMLIK FLD,ALBERTVILLE,AL,ALABAMA,34.22911111,-86.25575,34.22911111,-86.25575,1032.3,PU,PU,Non-towered,
116,ALX,THOMAS C RUSSELL FLD,ALEXANDER CITY,AL,ALABAMA,32.91475,-85.96294444,32.91475,-85.96294444,685.8,PU,PU,Non-towered,
119,AIV,GEORGE DOWNER,ALICEVILLE,AL,ALABAMA,33.10674444,-88.197175,33.10674444,-88.197175,150,PU,PU,Non-towered,
124,79J,SOUTH ALABAMA RGNL AT BILL BENTON FLD,ANDALUSIA,AL,ALABAMA,31.30836111,-86.39222222,31.30836111,-86.39222222,310.2,PU,PU,Non-towered,
128,ANB,ANNISTON RGNL,ANNISTON,AL,ALABAMA,33.58816666,-85.85811111,33.58816666,-85.85811111,612,PU,PU,Non-towered,
135,26A,ASHLAND/LINEVILLE,ASHLAND/LINEVILLE,AL,ALABAMA,33.28419722,-85.80896527,33.28419722,-85.80896527,1065,PU,PU,Non-towered,
140.1,0R1,ATMORE MUNI,ATMORE,AL,ALABAMA,31.01613888,-87.44675,31.01613888,-87.44675,286,PU,PU,Non-towered,
146,AUO,AUBURN UNIVERSITY RGNL,AUBURN,AL,ALABAMA,32.61511111,-85.434,32.61511111,-85.434,776.8,PU,PU,Towered,
155,1R8,BAY MINETTE MUNI,BAY MINETTE,AL,ALABAMA,30.87033333,-87.81933333,30.87033333,-87.81933333,248.1,PU,PU,Non-towered,
157.1,EKY,BESSEMER NTL,BESSEMER,AL,ALABAMA,33.31261111,-86.92630555,33.31261111,-86.92630555,699.6,PU,PU,Non-towered,
164,BHM,BIRMINGHAM-SHUTTLESWORTH INTL,BIRMINGHAM,AL,ALABAMA,33.56388888,-86.75230555,33.56388888,-86.75230555,650,PU,PU,Towered,
186,12J,BREWTON MUNI,BREWTON,AL,ALABAMA,31.05071138,-87.06726666,31.05071138,-87.06726666,98.8,PU,PU,Non-towered,
199.1,09A,BUTLER/CHOCTAW COUNTY,BUTLER,AL,ALABAMA,32.11930555,-88.12747222,32.11930555,-88.12747222,133.7,PU,PU,Non-towered,
207.1,61A,CAMDEN MUNI,CAMDEN,AL,ALABAMA,31.97975,-87.33911111,31.97975,-87.33911111,142.9,PU,PU,Non-towered,
218.12,PYP,CENTRE PIEDMONT/CHEROKEE COUNTY RGNL,CENTRE,AL,ALABAMA,34.08991666,-85.61008333,34.08991666,-85.61008333,594.6,PU,PU,Non-towered,
218.7,0A8,BIBB COUNTY,CENTREVILLE,AL,ALABAMA,32.93693888,-87.09054722,32.93693888,-87.09054722,250.9,PU,PU,Non-towered,
226.5,5R1,ROY WILCOX,CHATOM,AL,ALABAMA,31.45166688,-88.19442663,31.45166688,-88.19442663,166,PU,PU,Non-towered,
233,02A,CHILTON COUNTY,CLANTON,AL,ALABAMA,32.85048447,-86.61143247,32.85048447,-86.61143247,584.7,PU,PU,Non-towered,
234,11A,CLAYTON MUNI,CLAYTON,AL,ALABAMA,31.88332444,-85.48522472,31.88332444,-85.48522472,434.9,PU,PU,Non-towered,
245,9A4,COURTLAND,COURTLAND,AL,ALABAMA,34.65815833,-87.34855805,34.65815833,-87.34855805,588,PU,PU,Non-towered,
248.3,CMD,CULLMAN RGNL/FOLSOM FLD,CULLMAN,AL,ALABAMA,34.2687025,-86.85803527,34.2687025,-86.85803527,969.6,PU,PU,Non-towered,
250.1,4R9,JEREMIAH DENTON,DAUPHIN ISLAND,AL,ALABAMA,30.26048166,-88.12747305,30.26048166,-88.12747305,4.6,PU,PU,Non-towered,
251,DCU,PRYOR FLD RGNL,DECATUR,AL,ALABAMA,34.65405555,-86.94536111,34.65405555,-86.94536111,592,PU,PU,Non-towered,
254,DYA,DEMOPOLIS RGNL,DEMOPOLIS,AL,ALABAMA,32.46383333,-87.95405555,32.46383333,-87.95405555,111.7,PU,PU,Non-towered,
267,DHN,DOTHAN RGNL,DOTHAN,AL,ALABAMA,31.32102777,-85.44947222,31.32102777,-85.44947222,400.8,PU,PU,Towered,
267.6,14J,CARL FOLSOM,ELBA,AL,ALABAMA,31.41004166,-86.09033611,31.41004166,-86.09033611,258,PU,PU,Non-towered,
287.1,EDN,ENTERPRISE MUNI,ENTERPRISE,AL,ALABAMA,31.29972222,-85.89983333,31.29972222,-85.89983333,360.9,PU,PU,Non-towered,
290,EUF,WEEDON FLD,EUFAULA,AL,ALABAMA,31.95130555,-85.12891666,31.95130555,-85.12891666,285.2,PU,PU,Non-towered,
293,3A7,EUTAW MUNI,EUTAW,AL,ALABAMA,32.82041666,-87.86508333,32.82041666,-87.86508333,170,PU,PU,Non-towered,
296,GZH,EVERGREEN RGNL/MIDDLETON FLD,EVERGREEN,AL,ALABAMA,31.415,-87.04336111,31.415,-87.04336111,259,PU,PU,Non-towered,
300.3,CQF,H L SONNY CALLAHAN,FAIRHOPE,AL,ALABAMA,30.4605,-87.87702777,30.4605,-87.87702777,91.1,PU,PU,Non-towered,
302,M95,RICHARD ARTHUR FLD,FAYETTE,AL,ALABAMA,33.70910583,-87.81520861,33.70910583,-87.81520861,357.4,PU,PU,Non-towered,
308.5,0J4,FLORALA MUNI,FLORALA,AL,ALABAMA,31.04247361,-86.31156111,31.04247361,-86.31156111,314.3,PU,PU,Non-towered,
323.3,5R4,HOLK FLD AT FOLEY MUNI,FOLEY,AL,ALABAMA,30.42766666,-87.70097222,30.42766666,-87.70097222,74.3,PU,PU,Non-towered,
326,67A,FORT DEPOSIT-LOWNDES COUNTY,FORT DEPOSIT,AL,ALABAMA,31.97237083,-86.59164138,31.97237083,-86.59164138,490,PU,PU,Non-towered,
328.1,4A9,ISBELL FLD,FORT PAYNE,AL,ALABAMA,34.47369444,-85.72138888,34.47369444,-85.72138888,876.7,PU,PU,Non-towered,
333,GAD,NORTHEAST ALABAMA RGNL,GADSDEN,AL,ALABAMA,33.97040527,-86.09128861,33.97040527,-86.09128861,569.2,PU,PU,Non-towered,
344.1,33J,GENEVA MUNI,GENEVA,AL,ALABAMA,31.052625,-85.86894444,31.052625,-85.86894444,100.3,PU,PU,Non-towered,
350.1,7A0,GREENSBORO MUNI,GREENSBORO,AL,ALABAMA,32.68154027,-87.66206916,32.68154027,-87.66206916,175.1,PU,PU,Non-towered,
353.1,PRN,MAC CRENSHAW MEML,GREENVILLE,AL,ALABAMA,31.84569444,-86.61075,31.84569444,-86.61075,451.4,PU,PU,Non-towered,
359.7,JKA,GULF SHORES INTL/JACK EDWARDS FLD,GULF SHORES,AL,ALABAMA,30.28963888,-87.67177777,30.28963888,-87.67177777,17.1,PU,PU,Towered,
360,8A1,GUNTERSVILLE MUNI/JOE STARNES FLD,GUNTERSVILLE,AL,ALABAMA,34.40618919,-86.26087027,34.40618919,-86.26087027,614.6,PU,PU,Non-towered,
363,1M4,POSEY FLD,HALEYVILLE,AL,ALABAMA,34.28033333,-87.60041666,34.28033333,-87.60041666,929.8,PU,PU,Non-towered,
366.1,HAB,MARION COUNTY-RANKIN FITE,HAMILTON,AL,ALABAMA,34.11694444,-87.99822222,34.11694444,-87.99822222,436,PU,PU,Non-towered,
374.1,5M0,HARTSELLE/MORGAN COUNTY RGNL,HARTSELLE,AL,ALABAMA,34.40822222,-86.93294444,34.40822222,-86.93294444,628.5,PU,PU,Non-towered,
375.5,M38,HAZEL GREEN,HAZEL GREEN,AL,ALABAMA,34.91613194,-86.64704583,34.91613194,-86.64704583,814,PR,PU,Non-towered,
376,HDL,HEADLAND MUNI,HEADLAND,AL,ALABAMA,31.36413888,-85.31252777,31.36413888,-85.31252777,358.6,PU,PU,Non-towered,
385.4,MDQ,HUNTSVILLE EXEC TOM SHARP JR FLD,HUNTSVILLE,AL,ALABAMA,34.85935222,-86.55751388,34.85935222,-86.55751388,763.2,PU,PU,Non-towered,
385.1,HSV,HUNTSVILLE INTL-CARL T JONES FLD,HUNTSVILLE,AL,ALABAMA,34.63719694,-86.77505416,34.63719694,-86.77505416,628.9,PU,PU,Towered,
394.1,4R3,JACKSON MUNI,JACKSON,AL,ALABAMA,31.47055972,-87.89590138,31.47055972,-87.89590138,62.4,PU,PU,Non-towered,
401.3,JFX,WALKER COUNTY/BEVILL FLD,JASPER,AL,ALABAMA,33.902,-87.31383333,33.902,-87.31383333,482.6,PU,PU,Non-towered,
410.1,7A3,LANETT RGNL,LANETT,AL,ALABAMA,32.81184333,-85.22948638,32.81184333,-85.22948638,630.9,PU,PU,Non-towered,
425.1,04A,FRANK SIKES,LUVERNE,AL,ALABAMA,31.73638694,-86.26245463,31.73638694,-86.26245463,302,PU,PU,Non-towered,
428.21,A08,VAIDEN FLD,MARION,AL,ALABAMA,32.5105,-87.38477777,32.5105,-87.38477777,220,PU,PU,Non-towered,
437,BFM,MOBILE INTL,MOBILE,AL,ALABAMA,30.62678055,-88.06809083,30.62678055,-88.06809083,26.2,PU,PU,Towered,
438,MOB,MOBILE RGNL,MOBILE,AL,ALABAMA,30.69141666,-88.24283333,30.69141666,-88.24283333,218.7,PU,PU,Towered,
440.2,MVC,MONROE COUNTY AEROPLEX,MONROEVILLE,AL,ALABAMA,31.45805555,-87.35102777,31.45805555,-87.35102777,419.1,PU,PU,Non-towered,
447,MGM,MONTGOMERY RGNL (DANNELLY FLD),MONTGOMERY,AL,ALABAMA,32.30063888,-86.39397222,32.30063888,-86.39397222,232,PU,PU,Towered,
455,MSL,NORTHWEST ALABAMA RGNL,MUSCLE SHOALS,AL,ALABAMA,34.74530555,-87.61022222,34.74530555,-87.61022222,550.5,PU,PU,Non-towered,
463.1,20A,ROBBINS FLD,ONEONTA,AL,ALABAMA,33.97127777,-86.38038888,33.97127777,-86.38038888,1124.9,PU,PU,Non-towered,
480.1,71J,OZARK/BLACKWELL FLD,OZARK,AL,ALABAMA,31.431812,-85.62053391,31.431812,-85.62053391,357.9,PU,PU,Non-towered,
480.6,PLR,ST CLAIR COUNTY,PELL CITY,AL,ALABAMA,33.55883333,-86.24905555,33.55883333,-86.24905555,484.7,PU,PU,Non-towered,
481.91,1A9,PRATTVILLE/GROUBY FLD,PRATTVILLE,AL,ALABAMA,32.43872222,-86.51269444,32.43872222,-86.51269444,224.9,PU,PU,Non-towered,
494,3M8,NORTH PICKENS,REFORM,AL,ALABAMA,33.38675277,-88.00657916,33.38675277,-88.00657916,236.8,PU,PU,Non-towered,
498,7A5,ROANOKE MUNI ENLOE,ROANOKE,AL,ALABAMA,33.12967777,-85.37221527,33.12967777,-85.37221527,907,PU,PU,Non-towered,
502.1,M22,BILL PUGH FLD,RUSSELLVILLE,AL,ALABAMA,34.44508333,-87.71163888,34.44508333,-87.71163888,717.8,PU,PU,Non-towered,
507.02,1A4,LOGAN FLD,SAMSON,AL,ALABAMA,31.10370277,-86.0626,31.10370277,-86.0626,200,PU,PU,Non-towered,
509.1,4A6,SCOTTSBORO MUNI-WORD FLD,SCOTTSBORO,AL,ALABAMA,34.68870444,-86.00593194,34.68870444,-86.00593194,650.5,PU,PU,Non-towered,
511,SEM,CRAIG FLD,SELMA,AL,ALABAMA,32.34394666,-86.98780555,32.34394666,-86.98780555,166.2,PU,PU,Towered,
507,2R5,ST ELMO,ST ELMO,AL,ALABAMA,30.50191666,-88.27511111,30.50191666,-88.27511111,132.4,PU,PU,Non-towered,
520.2,7A6,STEVENSON,STEVENSON,AL,ALABAMA,34.88627638,-85.80328888,34.88627638,-85.80328888,644,PU,PU,Non-towered,
525.1,SCD,MERKEL FLD SYLACAUGA MUNI,SYLACAUGA,AL,ALABAMA,33.17183333,-86.30552777,33.17183333,-86.30552777,568.9,PU,PU,Non-towered,
528.1,ASN,TALLADEGA MUNI,TALLADEGA,AL,ALABAMA,33.56950416,-86.05120138,33.56950416,-86.05120138,528.8,PU,PU,Non-towered,
546,TOI,TROY MUNI AT N KENNETH CAMPBELL FLD,TROY,AL,ALABAMA,31.86,-86.01388888,31.86,-86.01388888,397.2,PU,PU,Towered,
554,TCL,TUSCALOOSA NTL,TUSCALOOSA,AL,ALABAMA,33.22062888,-87.61140388,33.22062888,-87.61140388,169.9,PU,PU,Towered,
561,06A,MOTON FLD MUNI,TUSKEGEE,AL,ALABAMA,32.46047222,-85.68002777,32.46047222,-85.68002777,264,PU,PU,Non-towered,
565,07A,FRANKLIN FLD,UNION SPRINGS,AL,ALABAMA,32.1675925,-85.81119666,32.1675925,-85.81119666,301,PU,PU,Non-towered,
570,M55,LAMAR COUNTY,VERNON,AL,ALABAMA,33.84671888,-88.11547583,33.84671888,-88.11547583,463,PU,PU,Non-towered,
590,08A,WETUMPKA MUNI,WETUMPKA,AL,ALABAMA,32.52733333,-86.33102777,32.52733333,-86.33102777,197.1,PU,PU,Non-towered,
860,M73,ALMYRA MUNI,ALMYRA,AR,ARKANSAS,34.41247944,-91.46530555,34.41247944,-91.46530555,210.2,PU,PU,Non-towered,
861.1,ADF,DEXTER B FLORENCE MEML FLD,ARKADELPHIA,AR,ARKANSAS,34.09980555,-93.06608333,34.09980555,-93.06608333,181.5,PU,PU,Non-towered,
867,CVK,SHARP COUNTY RGNL,ASH FLAT,AR,ARKANSAS,36.26488888,-91.56266666,36.26488888,-91.56266666,717.1,PU,PU,Non-towered,
871.11,M60,WOODRUFF COUNTY,AUGUSTA,AR,ARKANSAS,35.27190555,-91.27033055,35.27190555,-91.27033055,200,PU,PU,Non-towered,
875,M74,BALD KNOB MUNI,BALD KNOB,AR,ARKANSAS,35.29947222,-91.55769444,35.29947222,-91.55769444,212,PU,PU,Non-towered,
880,BVX,BATESVILLE RGNL,BATESVILLE,AR,ARKANSAS,35.72622222,-91.64744444,35.72622222,-91.64744444,465,PU,PU,Non-towered,
886.39,SUZ,SALINE COUNTY RGNL,BENTON,AR,ARKANSAS,34.59038888,-92.47944444,34.59038888,-92.47944444,389.4,PU,PU,Non-towered,
886.8,VBT,BENTONVILLE MUNI/LOUISE M THADEN FLD,BENTONVILLE,AR,ARKANSAS,36.34479805,-94.21950833,36.34479805,-94.21950833,1297.9,PU,PU,Non-towered,
897.1,4M1,CARROLL COUNTY,BERRYVILLE,AR,ARKANSAS,36.38134194,-93.62454027,36.38134194,-93.62454027,1205.6,PU,PU,Non-towered,
901,BYH,ARKANSAS INTL,BLYTHEVILLE,AR,ARKANSAS,35.96433333,-89.94394444,35.96433333,-89.94394444,254.1,PU,PU,Non-towered,
901.1,HKA,BLYTHEVILLE MUNI,BLYTHEVILLE,AR,ARKANSAS,35.94041402,-89.83079869,35.94041402,-89.83079869,255.7,PU,PU,Non-towered,
904.1,4M2,BOONEVILLE MUNI,BOONEVILLE,AR,ARKANSAS,35.14952633,-93.86338955,35.14952633,-93.86338955,467.8,PU,PU,Non-towered,
906,M36,FRANK FEDERER MEML,BRINKLEY,AR,ARKANSAS,34.88027777,-91.17644444,34.88027777,-91.17644444,195.3,PU,PU,Non-towered,
911.2,37T,CALICO ROCK MUNI,CALICO ROCK,AR,ARKANSAS,36.16573027,-92.14531138,36.16573027,-92.14531138,733,PU,PU,Non-towered,
912,CDH,HARRELL FLD,CAMDEN,AR,ARKANSAS,33.62280555,-92.76338888,33.62280555,-92.76338888,129.6,PU,PU,Non-towered,
913,4M3,CARLISLE MUNI,CARLISLE,AR,ARKANSAS,34.80822222,-91.71211111,34.80822222,-91.71211111,240.8,PU,PU,Non-towered,
917,4M8,CLARENDON MUNI,CLARENDON,AR,ARKANSAS,34.64666888,-91.39472055,34.64666888,-91.39472055,213.1,PU,PU,Non-towered,
918,H35,CLARKSVILLE MUNI,CLARKSVILLE,AR,ARKANSAS,35.47067805,-93.42715722,35.47067805,-93.42715722,480.8,PU,PU,Non-towered,
920,CCA,CLINTON MUNI,CLINTON,AR,ARKANSAS,35.59775,-92.45158333,35.59775,-92.45158333,513.9,PU,PU,Non-towered,
920.02,2A2,HOLLEY MOUNTAIN AIRPARK,CLINTON,AR,ARKANSAS,35.65071902,-92.40381294,35.65071902,-92.40381294,1270,PR,PU,Non-towered,
922,DRP,DELTA RGNL,COLT,AR,ARKANSAS,35.12005222,-90.82650138,35.12005222,-90.82650138,238.8,PU,PU,Non-towered,
924.05,CXW,CONWAY RGNL,CONWAY,AR,ARKANSAS,35.01988888,-92.55511111,35.01988888,-92.55511111,276.1,PU,PU,Non-towered,
926.22,H14,CORNING,CORNING,AR,ARKANSAS,36.41926944,-90.58825,36.41926944,-90.58825,287,PU,PU,Non-towered,
926.2,4M9,CORNING MUNI,CORNING,AR,ARKANSAS,36.40423138,-90.64792638,36.40423138,-90.64792638,293.2,PU,PU,Non-towered,
937,CRT,Z M JACK STELL FLD,CROSSETT,AR,ARKANSAS,33.17833333,-91.88019444,33.17833333,-91.88019444,183.5,PU,PU,Non-towered,
937.75,32A,DANVILLE MUNI,DANVILLE,AR,ARKANSAS,35.0872625,-93.42892416,35.0872625,-93.42892416,392.5,PU,PU,Non-towered,
942.2,DEQ,J LYNN HELMS SEVIER COUNTY,DE QUEEN,AR,ARKANSAS,34.047,-94.39936111,34.047,-94.39936111,354.8,PU,PU,Non-towered,
951.11,5M1,DEWITT MUNI/WHITCOMB FLD,DE WITT,AR,ARKANSAS,34.26227777,-91.3075,34.26227777,-91.3075,188.8,PU,PU,Non-towered,
939,5M5,CRYSTAL LAKE,DECATUR,AR,ARKANSAS,36.34361111,-94.44483333,36.34361111,-94.44483333,1177.8,PR,PU,Non-towered,
945,4M5,DERMOTT MUNI,DERMOTT,AR,ARKANSAS,33.48795333,-91.44261138,33.48795333,-91.44261138,135,PR,PU,Non-towered,
954.1,0M0,BILLY FREE MUNI,DUMAS,AR,ARKANSAS,33.88452777,-91.53427777,33.88452777,-91.53427777,164.2,PU,PU,Non-towered,
963,F43,EL DORADO DOWNTOWN-STEVENS FLD,EL DORADO,AR,ARKANSAS,33.19125,-92.66322222,33.19125,-92.66322222,256,PU,PU,Non-towered,
964,ELD,SOUTH ARKANSAS RGNL AT GOODWIN FLD,EL DORADO,AR,ARKANSAS,33.2212378,-92.81174888,33.2212378,-92.81174888,276.8,PU,PU,Non-towered,
975,FYV,DRAKE FLD,FAYETTEVILLE,AR,ARKANSAS,36.00509555,-94.17006333,36.00509555,-94.17006333,1252,PU,PU,Towered,
975.01,XNA,NORTHWEST ARKANSAS NTL,FAYETTEVILLE/SPRINGDALE/ROGERS,AR,ARKANSAS,36.28157916,-94.30776555,36.28157916,-94.30776555,1288.2,PU,PU,Towered,
978,FLP,MARION COUNTY RGNL,FLIPPIN,AR,ARKANSAS,36.29088888,-92.59025,36.29088888,-92.59025,719.9,PU,PU,Non-towered,
983.1,5M4,FORDYCE MUNI,FORDYCE,AR,ARKANSAS,33.84579222,-92.36552888,33.84579222,-92.36552888,193,PU,PU,Non-towered,
985,FCY,HUTFLY,FORREST CITY,AR,ARKANSAS,34.94199805,-90.77496611,34.94199805,-90.77496611,249.2,PR,PU,Non-towered,
987,FSM,FORT SMITH RGNL,FORT SMITH,AR,ARKANSAS,35.33664694,-94.36610888,35.33664694,-94.36610888,469,PU,PU,Towered,
999.36,12A,ARKAVALLEY,GREENBRIER,AR,ARKANSAS,35.17752961,-92.33506697,35.17752961,-92.33506697,329,PR,PU,Non-towered,
1000,5M8,GURDON LOWE FLD,GURDON,AR,ARKANSAS,33.92377777,-93.16813888,33.92377777,-93.16813888,229,PU,PU,Non-towered,
1001.32,0R6,HAMPTON MUNI,HAMPTON,AR,ARKANSAS,33.52261111,-92.46027777,33.52261111,-92.46027777,178,PU,PU,Non-towered,
1002,HRO,BOONE COUNTY,HARRISON,AR,ARKANSAS,36.26152055,-93.15472888,36.26152055,-93.15472888,1364.5,PU,PU,Non-towered,
1008,6M0,HAZEN MUNI DAVID DUCH FLD,HAZEN,AR,ARKANSAS,34.75921388,-91.63804583,34.75921388,-91.63804583,230,PU,PU,Non-towered,
1010.1,HBZ,HEBER SPRINGS MUNI,HEBER SPRINGS,AR,ARKANSAS,35.51169388,-92.01300944,35.51169388,-92.01300944,632.3,PU,PU,Non-towered,
1015,HEE,THOMPSON-ROBBINS,HELENA/WEST HELENA,AR,ARKANSAS,34.57649194,-90.67588944,34.57649194,-90.67588944,241.7,PU,PU,Non-towered,
1016.2,2A6,HOLLY GROVE MUNI,HOLLY GROVE,AR,ARKANSAS,34.58244444,-91.16522222,34.58244444,-91.16522222,176,PU,PU,Non-towered,
1019,M18,HOPE MUNI,HOPE,AR,ARKANSAS,33.71998113,-93.65890372,33.71998113,-93.65890372,359.2,PU,PU,Non-towered,
1021.5,6M2,HORSESHOE BEND,HORSESHOE BEND,AR,ARKANSAS,36.22136138,-91.75547388,36.22136138,-91.75547388,781.8,PU,PU,Non-towered,
1023,HOT,MEML FLD,HOT SPRINGS,AR,ARKANSAS,34.47802777,-93.09622222,34.47802777,-93.09622222,540.3,PU,PU,Non-towered,
1027,H34,HUNTSVILLE MUNI,HUNTSVILLE,AR,ARKANSAS,36.07822666,-93.75475472,36.07822666,-93.75475472,1747.9,PU,PU,Non-towered,
1035,JBR,JONESBORO MUNI,JONESBORO,AR,ARKANSAS,35.83171111,-90.64642194,35.83171111,-90.64642194,262.1,PU,PU,Non-towered,
1043.1,M32,LAKE VILLAGE MUNI,LAKE VILLAGE,AR,ARKANSAS,33.34652777,-91.31555555,33.34652777,-91.31555555,126.1,PU,PU,Non-towered,
1056,LIT,BILL AND HILLARY CLINTON NTL/ADAMS FLD,LITTLE ROCK,AR,ARKANSAS,34.72944138,-92.22477722,34.72944138,-92.22477722,266,PU,PU,Towered,
1069.1,AGO,RALPH C WEISER FLD,MAGNOLIA,AR,ARKANSAS,33.22747222,-93.217,33.22747222,-93.217,319.4,PU,PU,Non-towered,
1071.1,M78,MALVERN MUNI,MALVERN,AR,ARKANSAS,34.33331583,-92.76149944,34.33331583,-92.76149944,538,PU,PU,Non-towered,
1074,MXA,MANILA MUNI,MANILA,AR,ARKANSAS,35.89444722,-90.15457055,35.89444722,-90.15457055,242.7,PU,PU,Non-towered,
1076.11,6M7,MARIANNA/LEE COUNTY-STEVE EDWARDS FLD,MARIANNA,AR,ARKANSAS,34.78275,-90.80997222,34.78275,-90.80997222,219.1,PU,PU,Non-towered,
1076.4,6M8,MARKED TREE MUNI,MARKED TREE,AR,ARKANSAS,35.53309027,-90.40008888,35.53309027,-90.40008888,219,PU,PU,Non-towered,
1076.61,4A5,SEARCY COUNTY,MARSHALL,AR,ARKANSAS,35.89869444,-92.65633333,35.89869444,-92.65633333,963.6,PU,PU,Non-towered,
1077.1,7M1,MC GEHEE MUNI,MC GEHEE,AR,ARKANSAS,33.62022111,-91.36484055,33.62022111,-91.36484055,141,PU,PU,Non-towered,
1080,42A,MELBOURNE MUNI/JOHN E MILLER FLD,MELBOURNE,AR,ARKANSAS,36.07098027,-91.83013555,36.07098027,-91.83013555,734.8,PU,PU,Non-towered,
1081,MEZ,MENA INTERMOUNTAIN MUNI,MENA,AR,ARKANSAS,34.54551175,-94.20241647,34.54551175,-94.20241647,1079.9,PU,PU,Non-towered,
1096,LLQ,MONTICELLO MUNI/ELLIS FLD,MONTICELLO,AR,ARKANSAS,33.63855555,-91.751,33.63855555,-91.751,267.8,PU,PU,Non-towered,
1101.1,BDQ,MORRILTON MUNI,MORRILTON,AR,ARKANSAS,35.13623361,-92.71370833,35.13623361,-92.71370833,321.4,PU,PU,Non-towered,
1101.3,MPJ,PETIT JEAN PARK,MORRILTON,AR,ARKANSAS,35.13883333,-92.90919444,35.13883333,-92.90919444,923,PU,PU,Non-towered,
1108.1,7M3,BEARCE,MOUNT IDA,AR,ARKANSAS,34.52908111,-93.52942416,34.52908111,-93.52942416,644.4,PU,PU,Non-towered,
1104.4,BPK,BAXTER COUNTY,MOUNTAIN HOME,AR,ARKANSAS,36.3689425,-92.47051972,36.3689425,-92.47051972,928,PU,PU,Non-towered,
1107.2,7M2,MOUNTAIN VIEW WILCOX MEML FLD,MOUNTAIN VIEW,AR,ARKANSAS,35.86448027,-92.09033861,35.86448027,-92.09033861,805,PU,PU,Non-towered,
1109.11,M77,HOWARD COUNTY,NASHVILLE,AR,ARKANSAS,33.99719444,-93.83808333,33.99719444,-93.83808333,553.1,PU,PU,Non-towered,
1110,M19,NEWPORT RGNL,NEWPORT,AR,ARKANSAS,35.63772222,-91.17638888,35.63772222,-91.17638888,238.9,PU,PU,Non-towered,
1118,ORK,NORTH LITTLE ROCK MUNI,NORTH LITTLE ROCK,AR,ARKANSAS,34.83313888,-92.25413888,34.83313888,-92.25413888,545.4,PU,PU,Non-towered,
1126.2,7M4,OSCEOLA MUNI,OSCEOLA,AR,ARKANSAS,35.69113888,-90.01011111,35.69113888,-90.01011111,234.7,PU,PU,Non-towered,
1128,7M5,OZARK/FRANKLIN COUNTY,OZARK,AR,ARKANSAS,35.51069583,-93.8393075,35.51069583,-93.8393075,648,PU,PU,Non-towered,
1132,PGR,KIRK FLD,PARAGOULD,AR,ARKANSAS,36.06380555,-90.50919444,36.06380555,-90.50919444,290.2,PU,PU,Non-towered,
1134.1,7M6,PARIS MUNI,PARIS /SUBIACO/,AR,ARKANSAS,35.29911527,-93.68161388,35.29911527,-93.68161388,430,PU,PU,Non-towered,
1141.5,7M7,PIGGOTT MUNI,PIGGOTT,AR,ARKANSAS,36.37820555,-90.16624166,36.37820555,-90.16624166,275,PU,PU,Non-towered,
1142,PBF,PINEBLUFF RGNL/GRIDER FLD,PINE BLUFF,AR,ARKANSAS,34.17451305,-91.93560422,34.17451305,-91.93560422,205.7,PU,PU,Non-towered,
1144.7,M70,POCAHONTAS MUNI,POCAHONTAS,AR,ARKANSAS,36.2455,-90.95522222,36.2455,-90.95522222,273.3,PU,PU,Non-towered,
1152.1,4F7,KIZER FLD,PRESCOTT,AR,ARKANSAS,33.80388888,-93.36216666,33.80388888,-93.36216666,318.8,PU,PU,Non-towered,
1153.8,7M8,RECTOR,RECTOR,AR,ARKANSAS,36.25006305,-90.31954555,36.25006305,-90.31954555,281,PU,PU,Non-towered,
1156,ROG,ROGERS EXEC - CARTER FLD,ROGERS,AR,ARKANSAS,36.37241666,-94.10697222,36.37241666,-94.10697222,1358.8,PU,PU,Towered,
1161.1,RUE,RUSSELLVILLE RGNL,RUSSELLVILLE,AR,ARKANSAS,35.25928305,-93.09262222,35.25928305,-93.09262222,409.2,PU,PU,Non-towered,
1163,7M9,SALEM,SALEM,AR,ARKANSAS,36.35590805,-91.83095472,36.35590805,-91.83095472,786.7,PU,PU,Non-towered,
1165,SRC,SEARCY RGNL,SEARCY,AR,ARKANSAS,35.21060972,-91.73753944,35.21060972,-91.73753944,264.5,PU,PU,Non-towered,
1168.01,9M8,SHERIDAN-GRANT COUNTY RGNL,SHERIDAN,AR,ARKANSAS,34.32752777,-92.35133333,34.32752777,-92.35133333,236,PU,PU,Non-towered,
1170.1,SLG,SMITH FLD,SILOAM SPRINGS,AR,ARKANSAS,36.19186111,-94.49,36.19186111,-94.49,1191.4,PU,PU,Non-towered,
1176,ASG,SPRINGDALE MUNI,SPRINGDALE,AR,ARKANSAS,36.17638888,-94.11925,36.17638888,-94.11925,1352.5,PU,PU,Towered,
1180,55M,STAR CITY MUNI,STAR CITY,AR,ARKANSAS,33.92641666,-91.86111111,33.92641666,-91.86111111,398,PU,PU,Non-towered,
